Episode #,Training Iter,Epoch,In Heatup,ER #Transitions,ER #Episodes,Episode Length,Total steps,Epsilon,Shaped Training Reward,Training Reward,Update Target Network,Wall-Clock Time,Evaluation Reward,Shaped Evaluation Reward,Success Rate,Inverse Propensity Score,Direct Method Reward,Doubly Robust,Weighted Importance Sampling,Sequential Doubly Robust,Loss/Mean,Loss/Stdev,Loss/Max,Loss/Min,Learning Rate/Mean,Learning Rate/Stdev,Learning Rate/Max,Learning Rate/Min,Grads (unclipped)/Mean,Grads (unclipped)/Stdev,Grads (unclipped)/Max,Grads (unclipped)/Min,Discounted Return/Mean,Discounted Return/Stdev,Discounted Return/Max,Discounted Return/Min,Entropy/Mean,Entropy/Stdev,Entropy/Max,Entropy/Min,Advantages/Mean,Advantages/Stdev,Advantages/Max,Advantages/Min,Values/Mean,Values/Stdev,Values/Max,Values/Min,Value Loss/Mean,Value Loss/Stdev,Value Loss/Max,Value Loss/Min,Policy Loss/Mean,Policy Loss/Stdev,Policy Loss/Max,Policy Loss/Min,Value Targets/Mean,Value Targets/Stdev,Value Targets/Max,Value Targets/Min,KL Divergence/Mean,KL Divergence/Stdev,KL Divergence/Max,KL Divergence/Min,Likelihood Ratio/Mean,Likelihood Ratio/Stdev,Likelihood Ratio/Max,Likelihood Ratio/Min,Clipped Likelihood Ratio/Mean,Clipped Likelihood Ratio/Stdev,Clipped Likelihood Ratio/Max,Clipped Likelihood Ratio/Min
60,2.0,0.0,0.0,1191.0,20.0,23.0,3202.0,0.1,8.605999999999995,0.0,0.0,647.663081407547,,,,,,,,,,,,,,,,,,,,,2.374988579687661,2.9402236031498066,8.568503701566616,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,3.0,0.0,0.0,156.0,1.0,156.0,3358.0,0.1,97.107,0.0,0.0,862.7956919670105,,,,,,,,,,,,,,,,,,,,,43.5799085273643,27.39382024915954,90.48942262555968,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,3.0,0.0,0.0,227.0,2.0,71.0,3429.0,0.1,41.00899999999999,0.0,0.0,869.860013961792,,,,,,,,,,,,,,,,,,,,,15.441782942121208,13.396702986661161,39.99257857568218,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3.0,0.0,0.0,256.0,3.0,29.0,3458.0,0.1,14.105999999999995,0.0,0.0,872.8746349811554,,,,,,,,,,,,,,,,,,,,,4.3547522924155375,4.849412470655895,14.007713603012375,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,3.0,0.0,0.0,453.0,4.0,197.0,3655.0,0.1,104.90799999999987,0.0,0.0,892.310821056366,,,,,,,,,,,,,,,,,,,,,41.26213462517757,27.616728548716207,96.97320892347815,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,3.0,0.0,0.0,527.0,5.0,74.0,3729.0,0.1,47.707,0.0,0.0,900.2531170845032,,,,,,,,,,,,,,,,,,,,,17.570868662566685,14.774037294523174,46.49970863653449,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,3.0,0.0,0.0,607.0,6.0,80.0,3809.0,0.1,38.310000000000024,0.0,0.0,908.2384684085846,,,,,,,,,,,,,,,,,,,,,15.998928752528041,10.791455468022,37.10425710976019,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,3.0,0.0,0.0,659.0,7.0,52.0,3861.0,0.1,27.30800000000003,0.0,0.0,913.6647455692291,,,,,,,,,,,,,,,,,,,,,8.276889999167842,9.014582245332566,26.931437663933476,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,3.0,0.0,0.0,687.0,8.0,28.0,3889.0,0.1,13.605999999999995,0.0,0.0,916.6871752738953,,,,,,,,,,,,,,,,,,,,,4.187900726554885,4.713316189897722,13.515756777454598,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3.0,0.0,0.0,800.0,9.0,113.0,4002.0,0.1,59.70600000000003,0.0,0.0,927.7766258716583,,,,,,,,,,,,,,,,,,,,,27.48597667838494,16.308946447119226,56.7134548315508,0.001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
